"","pid","sku_size"
"1","b9c74f687ca55f2","1"
"2","b9c74f687ca55f2","2"
"3","b9c74f687ca55f2","3"
"4","b9c74f687ca55f2","4"
"5","b9c74f687ca55f2","1"
"6","db4e11720013c7e","2"
"7","db4e11720013c7e","4"
"8","db4e11720013c7e","1"
"9","db4e11720013c7e","5"
"10","db4e11720013c7e","3"
"11","db4e11720013c7e","1"
"12","24300ea1d6f9af3","2"
"13","24300ea1d6f9af3","1"
"14","24300ea1d6f9af3","1"
"15","24300ea1d6f9af3","5"
"16","24300ea1d6f9af3","3"
"17","24300ea1d6f9af3","4"
"18","c9d612b1b2b30bf","1"
"19","c9d612b1b2b30bf","4"
"20","c9d612b1b2b30bf","3"
"21","c9d612b1b2b30bf","2"
"22","c9d612b1b2b30bf","5"
"23","c9d612b1b2b30bf","1"
"24","278bdb301992163","3"
"25","278bdb301992163","5"
"26","278bdb301992163","1"
"27","278bdb301992163","0"
"28","278bdb301992163","2"
"29","278bdb301992163","1"
"30","09e4ab948b2ecd7","5"
"31","09e4ab948b2ecd7","4"
"32","09e4ab948b2ecd7","3"
"33","09e4ab948b2ecd7","2"
"34","09e4ab948b2ecd7","1"
"35","09e4ab948b2ecd7","1"
"36","8e70c9fcc48ac59","1"
"37","8e70c9fcc48ac59","5"
"38","8e70c9fcc48ac59","2"
"39","8e70c9fcc48ac59","3"
"40","8e70c9fcc48ac59","1"
"41","8e70c9fcc48ac59","4"
"42","79241674b7c7fae","1"
"43","79241674b7c7fae","2"
"44","79241674b7c7fae","5"
"45","79241674b7c7fae","1"
"46","79241674b7c7fae","4"
"47","79241674b7c7fae","3"
"48","a047a106fff922d","1"
"49","a047a106fff922d","2"
"50","a047a106fff922d","1"
"51","a047a106fff922d","4"
"52","a047a106fff922d","3"
"53","9620c119166831d","3"
"54","9620c119166831d","2"
"55","9620c119166831d","1"
"56","9620c119166831d","5"
"57","9620c119166831d","4"
"58","af0871bbf60844f","4"
"59","af0871bbf60844f","3"
"60","af0871bbf60844f","2"
"61","af0871bbf60844f","1"
"62","af0871bbf60844f","1"
"63","c7673fcaa455564","4"
"64","c7673fcaa455564","1"
"65","c7673fcaa455564","2"
"66","c7673fcaa455564","5"
"67","c7673fcaa455564","3"
"68","c7673fcaa455564","1"
"69","de5e72b08640d89","2"
"70","de5e72b08640d89","1"
"71","de5e72b08640d89","3"
"72","de5e72b08640d89","5"
"73","de5e72b08640d89","4"
"74","f58f0db0712bb5a","3"
"75","f58f0db0712bb5a","1"
"76","f58f0db0712bb5a","4"
"77","f58f0db0712bb5a","1"
"78","f58f0db0712bb5a","2"
"79","fe056fb5980d062","1"
"80","fe056fb5980d062","1"
"81","a6b6cc8b44ea59e","4"
"82","a6b6cc8b44ea59e","2"
"83","a6b6cc8b44ea59e","1"
"84","a6b6cc8b44ea59e","3"
"85","a6b6cc8b44ea59e","1"
"86","11be2285775224a","3"
"87","11be2285775224a","4"
"88","11be2285775224a","0"
"89","11be2285775224a","2"
"90","11be2285775224a","5"
"91","c21a57fb04cbb4d","4"
"92","c21a57fb04cbb4d","3"
"93","c21a57fb04cbb4d","2"
"94","c21a57fb04cbb4d","1"
"95","c21a57fb04cbb4d","5"
"96","c2e8bace0c00062","4"
"97","c2e8bace0c00062","1"
"98","c2e8bace0c00062","3"
"99","c2e8bace0c00062","2"
"100","b2b7a336b4c30dc","5"
"101","b2b7a336b4c30dc","3"
"102","b2b7a336b4c30dc","2"
"103","b2b7a336b4c30dc","3"
"104","b2b7a336b4c30dc","4"
"105","b2b7a336b4c30dc","2"
"106","b2b7a336b4c30dc","1"
"107","b2b7a336b4c30dc","4"
"108","ca1729ebea59543","2"
"109","ca1729ebea59543","1"
"110","ca1729ebea59543","5"
"111","ca1729ebea59543","4"
"112","ca1729ebea59543","3"
"113","e80ce59e08998c1","2"
"114","00dfc6bda5ae62b","2"
"115","76e7cd17e512c4b","5"
"116","76e7cd17e512c4b","3"
"117","76e7cd17e512c4b","5"
"118","76e7cd17e512c4b","5"
"119","76e7cd17e512c4b","1"
"120","76e7cd17e512c4b","1"
"121","76e7cd17e512c4b","1"
"122","76e7cd17e512c4b","4"
"123","76e7cd17e512c4b","2"
"124","76e7cd17e512c4b","3"
"125","76e7cd17e512c4b","4"
"126","76e7cd17e512c4b","2"
"127","030629a82e498a2","5"
"128","030629a82e498a2","4"
"129","030629a82e498a2","1"
"130","030629a82e498a2","2"
"131","030629a82e498a2","1"
"132","030629a82e498a2","3"
"133","4b27fae779e1fdd","3"
"134","4b27fae779e1fdd","4"
"135","4b27fae779e1fdd","1"
"136","4b27fae779e1fdd","1"
"137","4b27fae779e1fdd","5"
"138","4b27fae779e1fdd","2"
"139","6a66e600b2e95ab","1"
"140","6a66e600b2e95ab","1"
"141","6a66e600b2e95ab","2"
"142","6a66e600b2e95ab","4"
"143","6a66e600b2e95ab","5"
"144","6a66e600b2e95ab","3"
"145","971d77f081c61e8","1"
"146","971d77f081c61e8","4"
"147","971d77f081c61e8","3"
"148","971d77f081c61e8","5"
"149","971d77f081c61e8","1"
"150","971d77f081c61e8","2"
"151","4f06c12b79f714a","2"
"152","4f06c12b79f714a","1"
"153","4f06c12b79f714a","1"
"154","4f06c12b79f714a","5"
"155","4f06c12b79f714a","3"
"156","4f06c12b79f714a","4"
"157","987711ff29484f3","5"
"158","987711ff29484f3","4"
"159","987711ff29484f3","2"
"160","987711ff29484f3","3"
"161","987711ff29484f3","1"
"162","987711ff29484f3","1"
"163","744b77ae7c7cd89","4"
"164","744b77ae7c7cd89","2"
"165","744b77ae7c7cd89","2"
"166","744b77ae7c7cd89","3"
"167","744b77ae7c7cd89","4"
"168","744b77ae7c7cd89","5"
"169","744b77ae7c7cd89","3"
"170","744b77ae7c7cd89","1"
"171","93d4f64651288e9","1"
"172","93d4f64651288e9","4"
"173","93d4f64651288e9","2"
"174","93d4f64651288e9","3"
"175","93d4f64651288e9","4"
"176","93d4f64651288e9","2"
"177","93d4f64651288e9","3"
"178","93d4f64651288e9","5"
"179","ee14bc3996f16bf","3"
"180","ee14bc3996f16bf","4"
"181","ee14bc3996f16bf","5"
"182","ee14bc3996f16bf","3"
"183","ee14bc3996f16bf","2"
"184","ee14bc3996f16bf","2"
"185","ee14bc3996f16bf","1"
"186","ee14bc3996f16bf","4"
"187","07941da2f4549ca","4"
"188","07941da2f4549ca","2"
"189","07941da2f4549ca","2"
"190","07941da2f4549ca","3"
"191","07941da2f4549ca","3"
"192","07941da2f4549ca","1"
"193","07941da2f4549ca","4"
"194","07941da2f4549ca","5"
"195","995418f12b37a33","2"
"196","3e639b7f32b7feb","1"
"197","3e639b7f32b7feb","5"
"198","3e639b7f32b7feb","1"
"199","3e639b7f32b7feb","2"
"200","3e639b7f32b7feb","2"
"201","3e639b7f32b7feb","3"
"202","3e639b7f32b7feb","5"
"203","3e639b7f32b7feb","4"
"204","3e639b7f32b7feb","1"
"205","3e639b7f32b7feb","4"
"206","3e639b7f32b7feb","5"
"207","3e639b7f32b7feb","3"
"208","d62e35519f828d8","0"
"209","0f23a38d441dc68","0"
"210","b7457126b3c256d","0"
"211","e62cc1f320e035a","0"
"212","0c7ef5609c281da","0"
"213","e237bb80739bcda","0"
"214","186a4d80c5987b8","0"
"215","6a532b1582a258a","0"
"216","f6e1d6300833129","0"
"217","21986dbb500cb8d","3"
"218","21986dbb500cb8d","4"
"219","21986dbb500cb8d","5"
"220","21986dbb500cb8d","2"
"221","9fae8ea651a2300","2"
"222","9fae8ea651a2300","4"
"223","9fae8ea651a2300","3"
"224","9fae8ea651a2300","5"
"225","020bf9ac9f65ce1","3"
"226","020bf9ac9f65ce1","5"
"227","020bf9ac9f65ce1","5"
"228","020bf9ac9f65ce1","4"
"229","020bf9ac9f65ce1","1"
"230","020bf9ac9f65ce1","2"
"231","2e81f0cbeb90fb7","4"
"232","2e81f0cbeb90fb7","1"
"233","2e81f0cbeb90fb7","3"
"234","2e81f0cbeb90fb7","2"
"235","46bed41567958fc","2"
"236","46bed41567958fc","3"
"237","46bed41567958fc","4"
"238","46bed41567958fc","1"
"239","5590551bc16a924","2"
"240","5590551bc16a924","1"
"241","5590551bc16a924","3"
"242","5590551bc16a924","0"
"243","793fb03036e9d24","2"
"244","793fb03036e9d24","4"
"245","793fb03036e9d24","3"
"246","793fb03036e9d24","1"
"247","fcfd9292d39f0cc","1"
"248","fcfd9292d39f0cc","2"
"249","fcfd9292d39f0cc","3"
